imdbID,tmdbID,imdbRating,tmdbRating,genres,countries,year,runtime,title,overview,originalLanguage,posterURLs.original,streamingInfo.disney.us.added,streamingInfo.disney.us.leaving,streamingInfo.paramount.us.added,streamingInfo.paramount.us.leaving,streamingInfo.showtime.us.added,streamingInfo.showtime.us.leaving,streamingInfo.hulu.us.added,streamingInfo.hulu.us.leaving,streamingInfo.netflix.us.added,streamingInfo.netflix.us.leaving,streamingInfo.prime.us.added,streamingInfo.prime.us.leaving,streamingInfo.hbo.us.added,streamingInfo.hbo.us.leaving,streamingInfo.zee5.us.added,streamingInfo.zee5.us.leaving,streamingInfo.peacock.us.added,streamingInfo.peacock.us.leaving,streamingInfo.starz.us.added,streamingInfo.starz.us.leaving,streamingInfo.mubi.us.added,streamingInfo.mubi.us.leaving,streamingInfo.apple.us.added,streamingInfo.apple.us.leaving
tt0200087,31524,81,68,"Action, Drama, Thriller",['IN'],1999,174,Sarfarosh,"When terrorists kill a cop's brother and disable his father, he fights back against the smuggling of guns and drugs which plagues his country.",hi,https://image.tmdb.org/t/p/original/pu7ykvptVV3hEPuf2soqoCwyJMl.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt1069238,16804,80,78,Drama,['JP'],2008,130,Departures,"Daigo, a cellist, is laid off from his orchestra and moves with his wife back to his small hometown where the living is cheaper. Thinking he’s applying for a job at a travel agency he finds he’s being interviewed for work with departures of a more permanent nature – as an undertaker’s assistant.",ja,https://image.tmdb.org/t/p/original/mms4nMZuPYOyEengRxCaEk7SXMd.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0069293,593,80,78,"Drama, Mystery, Science Fiction",['SU'],1972,167,Solaris,A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.,ru,https://image.tmdb.org/t/p/original/nVS59KVITySXPFV7ABRJrEYVJ3d.jpg,,,,,,,,,,,,,1655510425.0,17277551400.0,,,,,,,,,,
tt0042593,17057,79,75,"Drama, 2, Mystery",['US'],1950,94,In a Lonely Place,An aspiring actress begins to suspect that her temperamental and mentally impaired boyfriend is a murderer.,en,https://image.tmdb.org/t/p/original/mR72XsO7EQu3uH8TeqPxMd9V8mW.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0026778,37719,78,74,"Comedy, Music, 4",['US'],1935,96,A Night at the Opera,The Marx Brothers take on high society and the opera world to bring two lovers together. A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,en,https://image.tmdb.org/t/p/original/A4YDGfJwaG7aMxDVrVJsOHJ7ufK.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0079417,12102,78,75,Drama,['US'],1979,105,Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",en,https://image.tmdb.org/t/p/original/6IVQjDTbr7pXx2AR8jovbYwpyiF.jpg,,,1667597862.0,1675227600.0,1667341255.0,1675209540.0,,,,,,,,,,,,,,,,,,
tt0947798,44214,80,76,"Drama, Thriller",['US'],2010,108,Black Swan,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,en,https://image.tmdb.org/t/p/original/8XYghKF0xkxp5A7QtK2F5vffdpZ.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0057115,5925,82,79,"Adventure, Drama, History",['US'],1963,173,The Great Escape,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",en,https://image.tmdb.org/t/p/original/gBH4H8UMFxl139HaLz6lRuvsel8.jpg,,,,,,,,,,,,,1659593559.0,16908732000.0,,,,,,,,,,
tt0405508,7913,81,71,"Comedy, Crime, Drama",['IN'],2006,157,Rang De Basanti,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",hi,https://image.tmdb.org/t/p/original/f1bF8CHzEu621bPSIg6XiUNAabh.jpg,,,,,,,,,1667846916.0,0.0,,,,,,,,,,,,,,
tt0079944,1398,81,82,"Drama, Science Fiction",['SU'],1979,162,Stalker,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",ru,https://image.tmdb.org/t/p/original/lUE0Bp7wH0EterJ44qMRsqtKFnp.jpg,,,,,,,,,,,,,1655509688.0,17277551400.0,,,,,,,,,,
